group_id,n_features,max_tfidf,mean_tfidf
10,19,0.4247,0.0051
36,3,0.6398,0.0022
37,1,1.0,0.0013
42,8,0.5291,0.0033
55,3,0.8319,0.002
64,4,0.743,0.0024
134,1,1.0,0.0013
150,15,0.5947,0.0039
162,19,0.459,0.0049
169,4,0.6496,0.0024
202,6,0.7852,0.0026
249,13,0.8285,0.0034
253,5,0.7525,0.0026
293,14,0.8056,0.0029
328,1,1.0,0.0013
332,1,1.0,0.0013
342,3,0.7829,0.0021
352,11,0.8308,0.0032
404,17,0.4925,0.0048
406,15,0.4593,0.0044
425,0,0.0,0.0
463,1,1.0,0.0013
478,0,0.0,0.0
492,21,0.4293,0.0052
498,12,0.383,0.0043
502,12,0.399,0.0042
503,16,0.3554,0.0048
504,19,0.5236,0.0048
505,9,0.4047,0.0038
507,18,0.3369,0.0051
517,10,0.4111,0.0039
534,20,0.2999,0.0054
547,2,0.7592,0.0018
552,1,1.0,0.0013
578,17,0.5402,0.0049
598,11,0.7682,0.0034
600,1,1.0,0.0013
601,1,1.0,0.0013
614,10,0.4685,0.0037
620,1,1.0,0.0013
621,13,0.8213,0.0033
630,3,0.7625,0.002
632,12,0.8607,0.003
633,13,0.8924,0.003
656,13,0.5818,0.0041
675,1,1.0,0.0013
676,2,0.7599,0.0018
679,3,0.71,0.002
680,7,0.5316,0.0031
737,7,0.52,0.0033
738,14,0.5132,0.0043
740,9,0.4575,0.0037
741,18,0.5494,0.0047
742,4,0.5983,0.0025
764,11,0.3742,0.0041
766,2,0.7525,0.0018
785,1,1.0,0.0013
825,2,0.7071,0.0018
828,20,0.7484,0.0043
830,3,0.6822,0.0022
837,13,0.4766,0.0043
841,3,0.7027,0.0021
849,4,0.755,0.0024
850,8,0.4756,0.0034
856,14,0.8683,0.0033
861,7,0.8827,0.0025
874,11,0.6706,0.0036
880,1,1.0,0.0013
883,1,1.0,0.0013
889,16,0.5285,0.0046
1024,1,1.0,0.0013
1034,13,0.3584,0.0045
1036,6,0.4854,0.003
1047,1,1.0,0.0013
1051,7,0.7126,0.003
1053,19,0.3257,0.0054
1055,11,0.4202,0.0041
1057,11,0.4633,0.0041
1060,4,0.8788,0.0022
1064,10,0.5095,0.0037
1073,8,0.6758,0.0032
1077,10,0.4294,0.0039
1135,1,1.0,0.0013
1138,5,0.5093,0.0028
1139,1,1.0,0.0013
1146,10,0.8096,0.003
1154,17,0.4046,0.005
1162,7,0.4972,0.0033
1195,2,0.7342,0.0018
1228,0,0.0,0.0
1266,4,0.5764,0.0025
1290,7,0.4312,0.0033
1305,1,1.0,0.0013
1335,3,0.7436,0.0021
1340,10,0.8979,0.0026
1364,8,0.654,0.003
1367,1,1.0,0.0013
1412,4,0.5893,0.0025
1434,13,0.3981,0.0044
1435,19,0.4004,0.0053
1436,8,0.3913,0.0036
1439,23,0.5104,0.0052
1441,4,0.8134,0.0023
1457,17,0.6017,0.0044
1460,18,0.3609,0.0051
1463,16,0.4582,0.0048
1468,8,0.6669,0.0032
1469,4,0.645,0.0024
1473,21,0.8073,0.0041
1478,19,0.6311,0.0046
1487,1,1.0,0.0013
1488,23,0.8272,0.0041
1495,3,0.6278,0.0022
1496,12,0.6785,0.0036
1497,16,0.8199,0.0037
1543,17,0.402,0.0049
1547,18,0.5773,0.0045
1569,1,1.0,0.0013
1578,1,1.0,0.0013
1588,0,0.0,0.0
1593,8,0.5604,0.0033
1600,2,0.7071,0.0018
1606,6,0.4809,0.0031
1617,11,0.7545,0.0032
1619,3,0.5924,0.0022
1635,1,1.0,0.0013
1636,16,0.364,0.0049
1638,8,0.4437,0.0035
1644,9,0.465,0.0037
1655,18,0.3003,0.0053
1669,5,0.6445,0.0026
1670,5,0.7276,0.0026
1671,4,0.6873,0.0024
1676,18,0.7981,0.0038
1677,4,0.7093,0.0024
1733,4,0.6171,0.0025
1789,5,0.4809,0.0028
1799,1,1.0,0.0013
1800,4,0.5853,0.0024
1849,6,0.5118,0.003
1850,1,1.0,0.0013
1863,14,0.6643,0.0041
1876,11,0.4725,0.004
1913,20,0.3447,0.0054
1926,3,0.8727,0.002
1950,10,0.5292,0.0036
1959,1,1.0,0.0013
1965,1,1.0,0.0013
1967,19,0.3057,0.0054
1970,9,0.5682,0.0034
1973,6,0.5994,0.0029
1975,18,0.4923,0.005
1989,4,0.5531,0.0025
2000,9,0.4222,0.0038
2033,4,0.6403,0.0025
2039,7,0.6301,0.0032
2092,1,1.0,0.0013
2098,1,1.0,0.0013
2114,17,0.5509,0.0046
2122,1,1.0,0.0013
2131,3,0.6956,0.0021
2133,15,0.2679,0.0049
2136,4,0.5525,0.0025
2138,15,0.291,0.0048
2140,1,1.0,0.0013
2141,1,1.0,0.0013
2144,9,0.5307,0.0036
2152,6,0.5443,0.003
2179,5,0.6544,0.0027
2197,14,0.4491,0.0045
2205,4,0.5576,0.0025
2221,8,0.8285,0.0029
2223,1,1.0,0.0013
2256,19,0.3742,0.0052
2260,4,0.7436,0.0024
2265,19,0.3337,0.0052
2273,20,0.3191,0.0054
2284,10,0.6316,0.0036
2310,20,0.3929,0.0054
2317,8,0.6749,0.0033
2332,17,0.6588,0.0045
2338,19,0.5374,0.0047
2348,13,0.4637,0.0044
2352,19,0.3181,0.0054
2372,1,1.0,0.0013
2378,6,0.5739,0.003
2381,1,1.0,0.0013
2386,14,0.6138,0.004
2397,18,0.5157,0.005
2417,3,0.6842,0.0022
2438,19,0.5537,0.0047
2440,6,0.5116,0.0031
2443,11,0.4595,0.004
2467,4,0.8183,0.0023
2474,8,0.4893,0.0033
2491,20,0.4425,0.005
2556,1,1.0,0.0013
2568,16,0.4122,0.0048
2570,2,0.8016,0.0018
2576,20,0.2727,0.0055
2577,6,0.6701,0.0029
2605,20,0.3463,0.0054
2606,15,0.4209,0.0047
2609,5,0.5473,0.0028
2655,18,0.3655,0.0051
2660,5,0.6177,0.0027
2665,8,0.8639,0.0027
2687,16,0.7049,0.0037
2691,4,0.7093,0.0024
2736,1,1.0,0.0013
2788,1,1.0,0.0013
2807,4,0.6373,0.0025
2831,13,0.4494,0.0044
2834,2,0.8559,0.0017
2841,18,0.8078,0.004
2846,9,0.5933,0.0035
2851,4,0.6565,0.0025
2899,13,0.6262,0.0041
2928,14,0.6511,0.0038
2941,19,0.4129,0.0052
2947,27,0.385,0.0059
2964,11,0.4725,0.004
2965,2,0.7382,0.0018
2974,11,0.424,0.004
2982,4,0.7373,0.0024
2986,18,0.3946,0.0052
2988,2,0.8794,0.0017
2991,6,0.5631,0.0029
2992,3,0.7428,0.0021
3000,1,1.0,0.0013
3010,1,1.0,0.0013
3016,15,0.3528,0.0047
3017,6,0.5885,0.0029
3085,8,0.4822,0.0035
3089,4,0.573,0.0025
3091,16,0.4521,0.0048
3108,7,0.5492,0.003
3124,4,0.612,0.0025
3140,4,0.6781,0.0025
3146,5,0.7318,0.0026
3180,7,0.5134,0.0032
3210,5,0.4863,0.0028
3220,7,0.5249,0.0033
3231,5,0.7022,0.0026
3240,6,0.4885,0.003
3258,7,0.5098,0.0032
3328,18,0.3891,0.0051
3335,4,0.6183,0.0025
3338,17,0.3627,0.0051
3339,14,0.7651,0.0039
3393,15,0.5539,0.0045
3418,7,0.5868,0.0031
3420,14,0.525,0.004
3422,23,0.3595,0.0056
3427,9,0.7748,0.0031
3431,10,0.602,0.0035
3437,12,0.4189,0.0041
3442,17,0.9024,0.0033
3460,2,0.7222,0.0018
3464,8,0.4209,0.0036
3467,8,0.511,0.0034
3474,3,0.6616,0.0022
3477,18,0.4141,0.0051
3484,4,0.5607,0.0025
3496,1,1.0,0.0013
3497,21,0.626,0.0048
3498,17,0.5295,0.0047
3502,8,0.4744,0.0035
3543,2,0.7162,0.0018
3551,17,0.4177,0.0049
3598,5,0.5328,0.0028
3603,7,0.5852,0.0032
3607,14,0.3589,0.0046
3614,11,0.7958,0.0026
3624,10,0.6958,0.0035
3671,3,0.7816,0.0021
3678,17,0.3477,0.005
3682,20,0.4232,0.0053
3683,1,1.0,0.0013
3692,14,0.4477,0.0043
3700,5,0.5704,0.0027
3707,16,0.3439,0.0049
3749,4,0.597,0.0025
3750,16,0.4239,0.0048
3773,14,0.3623,0.0045
3781,3,0.8136,0.0021
3791,8,0.5102,0.0035
3803,3,0.7401,0.0021
3807,2,0.8696,0.0017
3817,22,0.3898,0.0056
3828,8,0.6066,0.0034
3847,19,0.3743,0.0051
3856,2,0.7818,0.0018
3858,11,0.6168,0.0038
3920,4,0.6337,0.0025
3933,6,0.7622,0.0028
3935,17,0.3987,0.005
3943,4,0.5676,0.0025
3951,13,0.5258,0.0041
3963,3,0.6205,0.0022
3964,21,0.7062,0.0046
3976,6,0.5956,0.0029
3987,7,0.4961,0.0032
3988,7,0.5582,0.0031
3990,11,0.6356,0.0033
3992,18,0.3714,0.0052
3997,5,0.7787,0.0025
4005,15,0.3083,0.0047
4013,12,0.6781,0.0037
4015,6,0.9438,0.0021
4022,24,0.2887,0.0059
4042,4,0.7347,0.0024
4055,20,0.3778,0.0052
4078,14,0.4878,0.0045
4112,18,0.3805,0.005
4114,11,0.6319,0.0038
4144,7,0.5376,0.0032
4145,21,0.5397,0.0051
4162,7,0.6478,0.0031
4163,1,1.0,0.0013
4180,9,0.4824,0.0036
4184,9,0.4824,0.0036
4201,4,0.5869,0.0025
4206,12,0.4178,0.0042
4222,1,1.0,0.0013
4239,3,0.8795,0.002
4244,5,0.6779,0.0027
4263,7,0.8102,0.0027
4264,18,0.3915,0.005
4288,18,0.4649,0.0051
4292,10,0.5057,0.0039
4297,6,0.7346,0.0028
4327,18,0.3959,0.0051
4347,2,0.8428,0.0017
4358,10,0.4214,0.0039
4441,8,0.4707,0.0034
4490,5,0.5026,0.0028
4528,3,0.6048,0.0022
4558,8,0.5345,0.0034
4563,14,0.6304,0.004
4581,4,0.6623,0.0025
4587,8,0.5881,0.0032
4645,16,0.4826,0.0047
4658,14,0.4146,0.0046
4669,14,0.3714,0.0045
4685,17,0.3717,0.005
4705,5,0.5443,0.0028
4755,4,0.6024,0.0024
4793,4,0.625,0.0025
4794,21,0.4341,0.0056
4818,27,0.4364,0.0057
4829,9,0.5769,0.0034
4830,6,0.6329,0.003
4839,19,0.4213,0.0051
4860,16,0.5596,0.0045
4866,8,0.5867,0.0033
4893,15,0.3949,0.0047
4902,2,0.7193,0.0018
4924,6,0.5642,0.003
4927,20,0.3974,0.0054
4958,7,0.4605,0.0033
4985,4,0.7238,0.0024
4996,12,0.4678,0.0042
5042,15,0.8535,0.0035
5064,8,0.4749,0.0034
5065,15,0.662,0.0039
5077,20,0.311,0.0053
5080,20,0.5386,0.0052
5082,17,0.4169,0.0048
5104,13,0.708,0.0037
5107,3,0.6848,0.0021
5131,7,0.4822,0.0033
5154,15,0.3024,0.0048
5176,14,0.4252,0.0045
5178,20,0.4463,0.0052
5187,8,0.4829,0.0035
5196,3,0.6327,0.0022
5226,1,1.0,0.0013
5244,13,0.3529,0.0045
5251,19,0.385,0.0054
5270,1,1.0,0.0013
5336,10,0.6875,0.0036
5360,18,0.4792,0.0048
5460,19,0.4097,0.0053
5480,1,1.0,0.0013
5495,4,0.5678,0.0025
5501,8,0.6998,0.0032
5538,2,0.8157,0.0018
5542,11,0.708,0.0036
5545,6,0.6037,0.0029
5600,13,0.7294,0.0037
5601,23,0.5998,0.0044
5616,7,0.503,0.0033
5657,12,0.6329,0.004
5680,16,0.3933,0.0049
5693,13,0.3347,0.0045
5698,4,0.5692,0.0025
5715,20,0.4237,0.0053
5718,20,0.5129,0.0051
5749,7,0.6162,0.0031
5752,3,0.6809,0.0022
5779,18,0.6304,0.0036
5787,21,0.3377,0.0055
5793,1,1.0,0.0013
5815,1,1.0,0.0013
5817,17,0.3485,0.005
5822,8,0.6811,0.0033
5839,11,0.6148,0.0037
5844,4,0.5766,0.0025
5851,18,0.5304,0.005
5853,16,0.3128,0.0049
5896,17,0.3503,0.0051
5921,7,0.5816,0.0032
5929,7,0.6406,0.0031
5953,15,0.4199,0.0047
5968,13,0.6242,0.004
5973,14,0.4238,0.0043
5975,4,0.6455,0.0025
5994,5,0.5473,0.0028
6032,17,0.6105,0.0046
6075,4,0.6116,0.0025
6092,9,0.3729,0.0038
6171,16,0.3496,0.0048
6185,1,1.0,0.0013
6207,5,0.5765,0.0028
6222,4,0.5716,0.0025
6229,3,0.6975,0.0021
6254,5,0.5551,0.0028
6261,9,0.5096,0.0034
6284,6,0.6395,0.0028
6314,7,0.6259,0.0032
6316,14,0.4397,0.0044
6336,25,0.349,0.006
6377,14,0.4827,0.0043
6384,12,0.8525,0.0032
6399,17,0.4674,0.0046
6411,15,0.6474,0.0043
6442,1,1.0,0.0013
6458,8,0.4721,0.0034
6462,5,0.5855,0.0027
6482,8,0.6094,0.0034
6486,15,0.6665,0.004
6506,9,0.4317,0.0037
6525,2,0.8216,0.0018
6569,1,1.0,0.0013
6594,17,0.6999,0.0042
6598,18,0.4332,0.0051
6621,15,0.4013,0.0047
6657,20,0.5229,0.0048
6665,14,0.4088,0.0046
6684,2,0.808,0.0018
6748,4,0.749,0.0024
6792,3,0.7665,0.0021
6828,21,0.4158,0.0055
6843,4,0.7195,0.0024
6847,4,0.6239,0.0025
6862,8,0.5671,0.0034
6866,10,0.3385,0.004
6882,11,0.4308,0.004
6919,8,0.4631,0.0034
6927,7,0.4576,0.0033
6954,7,0.4516,0.0033
6973,4,0.5803,0.0025
6988,4,0.5804,0.0025
7025,4,0.5788,0.0024
7043,11,0.7268,0.0035
7054,7,0.4314,0.0033
7112,1,1.0,0.0013
7135,7,0.4292,0.0033
7138,4,0.6616,0.0024
7146,7,0.4624,0.0033
7224,1,1.0,0.0013
7260,4,0.6904,0.0025
7298,16,0.4478,0.0048
7299,5,0.6111,0.0028
7311,9,0.5467,0.0036
7358,12,0.4063,0.0042
7390,13,0.39,0.0044
7397,2,0.7601,0.0018
7442,12,0.4792,0.0039
7478,14,0.4014,0.0045
7484,7,0.5805,0.0032
7498,8,0.381,0.0036
7531,16,0.3965,0.0047
7540,17,0.4194,0.005
7562,8,0.7164,0.0031
7575,19,0.4789,0.0051
7576,18,0.3964,0.0051
7598,13,0.8282,0.0033
7635,10,0.5822,0.0036
7677,3,0.8763,0.002
7687,16,0.4498,0.0046
7708,1,1.0,0.0013
7737,1,1.0,0.0013
7755,9,0.7061,0.0034
7766,13,0.7404,0.0035
7792,16,0.579,0.0044
7827,6,0.6991,0.0029
7840,7,0.9348,0.0022
7853,12,0.4455,0.004
7869,19,0.6869,0.0045
7920,19,0.4708,0.0045
7975,4,0.677,0.0024
7993,6,0.6526,0.0026
